PRACA;PERIODO;AGRUPAMENTO;PUBLICO;DAY_PARTS;DIA_DA_SEMANA;OPM;OS;ALC2;TMEDIND
GRANDE VITORIA;01/09/2025;TOTAL FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;48031.54;41.70;418065.59;165.26
GRANDE VITORIA;01/09/2025;TOTAL FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;14436.38;12.53;100311.99;207.14
GRANDE VITORIA;01/09/2025;TOTAL FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;25039.27;21.74;196381.16;183.36
GRANDE VITORIA;01/09/2025;TOTAL FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;25692.07;22.30;246684.42;149.59
GRANDE VITORIA;01/09/2025;TOTAL FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;25031.87;21.73;206814.30;174.17
GRANDE VITORIA;01/09/2025;TOTAL FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;34239.47;29.72;254234.46;193.56
GRANDE VITORIA;01/09/2025;TOTAL FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;25896.63;22.48;217021.79;171.50
GRANDE VITORIA;01/09/2025;TOTAL FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7568.22;6.57;56577.12;192.38
GRANDE VITORIA;01/09/2025;TOTAL FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;27686.47;24.03;238631.80;167.04
GRANDE VITORIA;01/09/2025;TOTAL FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;27660.96;24.01;240604.30;165.33
GRANDE VITORIA;01/09/2025;TOTAL FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;26383.39;22.90;210640.25;180.22
GRANDE VITORIA;01/09/2025;BAND NEWS FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;NULL;NULL;NULL;NULL
